SampleDate,DateReqested,GridReference,Longitude,Lattitude,ProductionArea,SiteName,benz[a]anthraceneg_microgram_per_kg,chrysene_microgram_per_kg,benzo[b]fluoranthene_microgram_per_kg,benzo[a]pyrene_microg_per_kg,PAH_4_SumLower_microgram_per_kg   ,Cadmium_Cd_mg_per_kg,Mercury_Hg_mg_per_kg,Lead_Pb_mg_per_kg,SumOfDioxins_pg_per_g,SumOfDioxins_and_dioxin_like_PCBs_pg_per_g,SumOf_ICES_6_ng_per_g ,TestType,Comments
2018-01-23,2017-12,SD32802594,-3.0199546,53.725514,Ribble,Ribble Walls North,3.98,4.04,8.04,3.44,19.5,0.143,0.024,0.387,0.5,0.81,3.64,"Dioxins, metals and polyaromatic hydrocarbons",All results below maximum permitted levels
2019-01-02,2018-12,TF7987345401,0.67749717,52.975773,Brancaster,Norton Creek Mussel (MSP),1.79,2.22,1.22,1.06,6.29,0.057,0.009,0.181,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2019-01-07,2018-12,SH53148022,-4.2051148,53.298519,Red Wharf Bay - Traeth Coch,Nodwydd,0.35,0.58,0.65,0.39,1.97,0.023,0.012,0.2,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2019-01-08,2018-12,SW75462765,-5.1415636,50.106392,Helford,Porth Navas Quay,0.8,0.73,1.95,0.52,4,0.052,0.011,0.103,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2019-01-22,2018-12,SW85853369,-4.9998673,50.164478,Fal,Percuil,1.57,1.21,4.69,1.34,8.81,0.101,0.024,0.168,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2019-12-17,2019-12,SW80212383,-5.0730398,50.073863,Porthallow ,Porthallow North,<0.50,0.57,0.98,<0.50,2.27,0.052,0.007,0.275,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2020-02-23,2019-12,SX67114467,-3.8667519,50.286987,Bigbury and Avon ,South Hexdown North,2.25,2.56,5.2,1.19,11.2,0.125,0.018,0.108,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2020-01-20,2019-12,SY13687543,-3.220329,50.572214,Lyme Bay ,Site 1 Pilot West,0.49,0.57,1.31,0.35,2.72,0.051,0.01,0.279,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2020-01-21,2019-12,SH27918140,-4.5839434,53.301519,Anglesey ? Inland Sea ,Gorsedd y Penrhyn,0.68,0.92,1.06,0.39,3.05,0.079,0.017,0.308,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2020-03-10,2019-12,SW36570690,-5.6701171,49.904181,Three Rivers ,Pastoun Scar,1.9,1.99,2.58,1.98,8.45,0.031,0.012,0.348,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
